,name,handedness,height,weight,avg,HR,weight_cat,height_cat
475,Fernando Gonzalez,R,70,165,0.235,17,Low,Low
476,Jim Sundberg,R,72,190,0.248,95,Medium,Low
477,Andy Kosco,R,75,205,0.23600000000000002,73,High,High
478,Steve Huntz,B,73,204,0.20600000000000002,16,High,Medium
479,Gary Wheelock,R,75,205,0.0,0,High,High
480,Lenny Faedo,R,72,170,0.251,5,Low,Low
481,John Lowenstein,L,72,175,0.253,116,Low,Low
482,Don Kessinger,B,73,170,0.252,14,Low,Medium
483,Joe Hague,L,72,195,0.239,40,High,Low
484,Bake McBride,L,74,190,0.299,63,Medium,Medium
485,Dick Davis,R,75,190,0.265,27,Medium,High
486,Richie Scheinblum,B,73,180,0.263,13,Medium,Medium
487,Ed Herrmann,L,73,195,0.24,80,High,Medium
488,Mike Rochford,L,76,205,0.0,0,High,High
489,Jeff Schneider,B,75,195,0.0,0,High,High
490,Bob Molinaro,L,72,190,0.264,14,Medium,Low
491,Mike Hegan,L,73,188,0.242,53,Medium,Medium
492,Mike Diaz,R,74,195,0.247,31,High,Medium
493,Tim Foli,R,72,179,0.251,25,Medium,Low
494,Alan Knicely,R,72,190,0.213,12,Medium,Low
495,Tim Laudner,R,75,212,0.225,77,High,High
496,Jose Morales,R,71,187,0.287,26,Medium,Low
497,Luis Encarnacion,R,70,178,0.0,0,Low,Low
498,Rick Kreuger,R,74,185,0.0,0,Medium,Medium
499,Juan Marichal,R,72,185,0.165,4,Medium,Low
500,Vida Blue,B,72,189,0.10400000000000001,4,Medium,Low
501,Angel Moreno,L,69,165,0.0,0,Low,Low
502,Roger Weaver,R,75,190,0.0,0,Medium,High
503,Stan Papi,R,72,170,0.218,7,Low,Low
504,Rob Wilfong,L,73,180,0.248,39,Medium,Medium
505,Chris Knapp,R,77,195,0.0,0,High,High
506,Steve Henderson,R,74,190,0.28,68,Medium,Medium
507,Rob Picciolo,R,74,185,0.23399999999999999,17,Medium,Medium
508,Don Welchel,R,76,205,0.0,0,High,High
509,Randy Wiles,L,73,185,0.0,0,Medium,Medium
510,Roberto Pena,R,68,170,0.245,13,Low,Low
511,Bob Dernier,R,72,160,0.255,23,Low,Low
512,Bill Melton,R,74,200,0.253,160,High,Medium
513,Albert Hall,B,71,155,0.251,5,Low,Low
514,Barbaro Garbey,R,70,170,0.267,11,Low,Low
515,John Milner,L,72,185,0.249,131,Medium,Low
516,Rich Reese,L,75,185,0.253,52,Medium,High
517,Chris Bando,B,72,195,0.22699999999999998,27,High,Low
518,Bill Buckner,L,72,185,0.289,174,Medium,Low
519,Jack Hiatt,R,74,190,0.251,22,Medium,Medium
520,Nelson Mathews,R,76,195,0.223,22,High,High
521,Larry Lintz,B,69,150,0.22699999999999998,0,Low,Low
522,Ron Theobald,R,68,165,0.248,2,Low,Low
523,Dewey Robinson,R,72,180,0.0,0,Medium,Low
524,Rafael Santana,R,73,165,0.24600000000000002,13,Low,Medium
525,Jerry Hairston,B,70,170,0.258,30,Low,Low
526,Tony Arnold,R,71,170,0.0,0,Low,Low
527,Jeff Schattinger,L,77,200,0.0,0,High,High
528,Ike Brookens,R,77,170,0.0,0,Low,High
529,Tommie Aaron,R,75,190,0.22899999999999998,13,Medium,High
530,Steve Dillard,R,73,180,0.243,13,Medium,Medium
531,Win Remmerswaal,R,74,160,0.0,0,Low,Medium
532,Jeff Peterek,R,74,195,0.0,0,High,Medium
533,George Scott,R,74,200,0.268,271,High,Medium
534,Jeff Shaver,R,75,195,0.0,0,High,High
535,Ken Walters,R,73,180,0.231,11,Medium,Medium
536,Gorman Thomas,R,74,210,0.225,268,High,Medium
537,Paul Dade,R,73,185,0.27,10,Medium,Medium
538,Darrell Porter,L,72,193,0.247,188,High,Low
539,Tim Johnson,L,73,170,0.223,0,Low,Medium
540,Fred Stanley,R,70,165,0.21600000000000003,10,Low,Low
541,Larry Bowa,B,70,155,0.26,15,Low,Low
542,Tim Corcoran,L,71,175,0.27,12,Low,Low
543,Jim Spencer,L,74,195,0.25,146,High,Medium
544,Pete LaCock,L,74,200,0.257,27,High,Medium
545,Carl Morton,R,72,200,0.156,7,High,Low
546,Gary Gray,R,72,187,0.24,24,Medium,Low
547,Matty Alou,L,69,160,0.307,31,Low,Low
548,Pete Filson,B,74,195,0.0,0,High,Medium
549,Jim Dwyer,L,70,165,0.26,77,Low,Low
550,Dalton Jones,L,73,180,0.235,41,Medium,Medium
551,Rennie Stennett,R,71,160,0.27399999999999997,41,Low,Low
552,Jim Gideon,R,75,190,0.0,0,Medium,High
553,Jerry May,R,74,190,0.23399999999999999,15,Medium,Medium
554,Rich McKinney,R,71,185,0.225,20,Medium,Low
555,Clint Hurdle,L,75,195,0.259,32,High,High
556,Mike Andrews,R,75,195,0.258,66,High,High
557,Bobby Clark,R,72,190,0.239,19,Medium,Low
558,Jeff Twitty,L,74,185,0.0,0,Medium,Medium
559,Cliff Johnson,R,76,215,0.258,196,High,High
560,Steve Cummings,B,74,200,0.0,0,High,Medium
561,Donn Clendenon,R,76,209,0.27399999999999997,159,High,High
562,Charlie James,R,73,195,0.255,29,High,Medium
563,Bob Horner,R,73,195,0.27699999999999997,218,High,Medium
564,Tom Veryzer,R,73,175,0.24100000000000002,14,Low,Medium
565,Jose Cecena,R,71,180,0.0,0,Medium,Low
566,George Smith,R,70,170,0.205,9,Low,Low
567,Jim Essian,R,74,195,0.244,33,High,Medium
568,Onix Concepcion,R,66,160,0.239,3,Low,Low
569,Boots Day,L,69,160,0.256,8,Low,Low
570,Brian Giles,R,73,165,0.228,10,Low,Medium
571,Garry Maddox,R,75,175,0.285,117,Low,High
572,Alex Trevino,R,70,165,0.249,23,Low,Low
573,Jim Price,R,72,192,0.214,18,High,Low
574,Felix Millan,R,71,172,0.27899999999999997,22,Low,Low
575,Steve Garvey,R,70,192,0.294,272,High,Low
576,Don Mincher,L,75,205,0.249,200,High,High
577,Greg Erardi,R,73,190,0.0,0,Medium,Medium
578,Jim Farr,R,73,195,0.0,0,High,Medium
579,Tony Cloninger,R,72,210,0.192,11,High,Low
580,Jim Gosger,L,71,185,0.226,30,Medium,Low
581,Chuck Harrison,R,70,185,0.23800000000000002,17,Medium,Low
582,Mike Ivie,R,75,205,0.26899999999999996,81,High,High
583,Frank Dimichele,R,75,205,0.0,0,High,High
584,Bob Veale,B,78,212,0.114,0,High,High
585,Marvell Wynne,L,71,175,0.247,40,Low,Low
586,Dusty Baker,R,74,183,0.278,242,Medium,Medium
587,Tucker Ashford,R,73,195,0.218,6,High,Medium
588,Ned Yost,R,73,190,0.212,16,Medium,Medium
589,Bob Stinson,B,71,180,0.25,33,Medium,Low
590,Mike Warren,R,73,175,0.0,0,Low,Medium
591,Gaylord Perry,R,76,205,0.131,6,High,High
592,Dave Marshall,L,73,182,0.24600000000000002,16,Medium,Medium
593,Mickey Hatcher,R,74,200,0.28,38,High,Medium
594,Roger Repoz,L,75,190,0.22399999999999998,82,Medium,High
595,Bill Fulton,R,75,195,0.0,0,High,High
596,John Orsino,R,75,215,0.249,40,High,High
597,Larry Anderson,R,75,190,0.0,0,Medium,High
598,Johnny Briggs,L,73,190,0.253,139,Medium,Medium
599,Craig Mitchell,R,75,180,0.0,0,Medium,High
600,Dave Hostetler,R,76,215,0.22899999999999998,37,High,High
601,Bob Jones,L,74,195,0.221,20,High,Medium
602,Keith Hernandez,L,72,180,0.29600000000000004,162,Medium,Low
603,Alfredo Martinez,R,75,185,0.0,0,Medium,High
604,Dean Chance,R,75,200,0.066,0,High,High
605,Willie Upshaw,L,72,185,0.262,123,Medium,Low
606,Dick Green,R,70,180,0.24,80,Medium,Low
607,Dane Iorg,L,72,180,0.276,14,Medium,Low
608,Richie Hebner,L,73,195,0.276,203,High,Medium
609,Fran Healy,R,77,220,0.25,20,High,High
610,Doc Edwards,R,74,215,0.23800000000000002,15,High,Medium
611,Sandy Alomar,B,69,140,0.245,13,Low,Low
612,Joe Strain,R,70,169,0.25,1,Low,Low
613,Gene Richards,L,72,175,0.29,26,Low,Low
614,Buddy Bell,R,73,180,0.27899999999999997,201,Medium,Medium
615,Al Woods,L,75,190,0.271,35,Medium,High
616,Rudy Law,L,73,165,0.271,18,Low,Medium
617,Joel Davis,L,77,205,0.0,0,High,High
618,Jody Davis,R,76,192,0.245,127,High,High
619,Mike Edwards,R,70,154,0.25,2,Low,Low
620,Bill Mooneyham,R,72,175,0.0,0,Low,Low
621,John Hobbs,R,75,190,0.0,0,Medium,High
622,Deron Johnson,R,74,200,0.244,245,High,Medium
623,John Denny,R,75,185,0.17,0,Medium,High
624,Don Wert,R,70,162,0.242,77,Low,Low
625,Mike Fiore,L,72,175,0.22699999999999998,13,Low,Low
626,Miguel Dilone,B,72,160,0.265,6,Low,Low
627,Greg Luzinski,R,73,220,0.276,307,High,Medium
628,Bobby Tolan,L,71,170,0.265,86,Low,Low
629,Karl Best,R,76,190,0.0,0,Medium,High
630,Steve Barr,L,76,200,0.0,0,High,High
631,Ron Woods,R,70,168,0.233,26,Low,Low
632,Tony Horton,R,75,210,0.268,76,High,High
633,Randy Hundley,R,71,170,0.23600000000000002,82,Low,Low
634,Jose Tartabull,L,71,165,0.261,2,Low,Low
635,Ben Oglivie,L,74,160,0.273,235,Low,Medium
636,Luis Sanchez,R,74,170,0.0,0,Low,Medium
637,Bob Johnson,R,70,175,0.272,44,Low,Low
638,Don Buford,B,67,160,0.264,93,Low,Low
639,Duane Kuiper,L,72,175,0.271,1,Low,Low
640,Brant Alyea,R,75,215,0.247,38,High,High
641,Jerry Narron,L,75,205,0.21100000000000002,21,High,High
642,Lou Johnson,R,71,170,0.258,48,Low,Low
643,Ken Retzer,L,72,185,0.264,14,Medium,Low
644,Mike Brown,R,74,195,0.265,23,High,Medium
645,Mike Brown,R,74,195,0.0,0,High,Medium
646,Greg Walker,L,75,205,0.26,113,High,High
647,Terry Harper,R,76,195,0.253,36,High,High
648,Jerry Royster,R,72,165,0.249,40,Low,Low
649,Steve Davis,L,73,195,0.0,0,High,Medium
650,Jeff Rineer,L,76,205,0.0,0,High,High
651,Barry Bonnell,R,75,190,0.272,56,Medium,High
652,Tom Seaver,R,73,195,0.154,12,High,Medium
653,Jerry Martin,R,73,195,0.251,85,High,Medium
654,Bill Stein,R,70,170,0.267,44,Low,Low
655,Joel Youngblood,R,72,180,0.265,80,Medium,Low
656,Reggie Jackson,L,72,195,0.262,563,High,Low
657,Sonny Jackson,L,69,150,0.251,7,Low,Low
658,Mark Mercer,L,77,220,0.0,0,High,High
659,Rodney Scott,B,72,160,0.23600000000000002,3,Low,Low
660,Rich Coggins,L,68,170,0.265,12,Low,Low
661,Phil Gagliano,R,73,180,0.23800000000000002,14,Medium,Medium
662,Jerry McNertney,R,72,180,0.237,27,Medium,Low
663,Mitchell Page,L,74,205,0.266,72,High,Medium
664,Kiko Garcia,R,71,180,0.239,12,Medium,Low
665,Larry Milbourne,B,72,161,0.254,11,Low,Low
666,Bill Sudakis,B,73,190,0.23399999999999999,59,Medium,Medium
667,John Caneira,R,75,180,0.0,0,Medium,High
668,Domingo Ramos,R,70,154,0.24,8,Low,Low
669,Ron Oester,B,74,185,0.265,42,Medium,Medium
670,Glenn Adams,L,73,180,0.28,34,Medium,Medium
671,Clint Zavaras,R,73,175,0.0,0,Low,Medium
672,Joe Morgan,L,67,160,0.271,268,Low,Low
673,R.J. Reynolds,B,72,190,0.267,35,Medium,Low
674,Mike Parrott,R,76,210,0.0,0,High,High
675,Lee Thomas,L,74,195,0.255,106,High,Medium
676,Ray Fosse,R,74,215,0.256,61,High,Medium
677,Paul Popovich,B,72,175,0.233,14,Low,Low
678,John Stephenson,L,71,180,0.21600000000000003,12,Medium,Low
679,Doug Clemens,L,72,180,0.22899999999999998,12,Medium,Low
680,Luis Aponte,R,72,185,0.0,0,Medium,Low
681,Orlando Mercado,R,72,180,0.19899999999999998,7,Medium,Low
682,Charley Smith,R,73,170,0.239,69,Low,Medium
683,Paul Boris,R,74,200,0.0,0,High,Medium
684,Buddy Biancalana,B,71,160,0.205,6,Low,Low
685,De Wayne Buice,R,72,170,0.0,0,Low,Low
686,Bob Uecker,R,73,190,0.2,14,Medium,Medium
687,Felix Torres,R,71,165,0.254,27,Low,Low
688,Steve Braun,L,70,180,0.271,52,Medium,Low
689,Ray Knight,R,73,185,0.271,84,Medium,Medium
690,Ty Cline,L,72,170,0.23800000000000002,6,Low,Low
691,Thad Bosley,L,75,175,0.272,20,Low,High
692,Bobby Grich,R,74,180,0.266,224,Medium,Medium
693,Jimmie Hall,L,72,175,0.254,121,Low,Low
694,John Boccabella,R,73,195,0.21899999999999997,26,High,Medium
695,Brock Davis,L,70,160,0.26,1,Low,Low
696,Mark Esser,R,73,190,0.0,0,Medium,Medium
697,Curt Blefary,L,74,195,0.237,112,High,Medium
698,Daryl Smith,R,76,185,0.0,0,Medium,High
699,Dave Smith,R,73,190,0.0,0,Medium,Medium
700,Mack Jones,L,73,180,0.252,133,Medium,Medium
701,Buddy Bradford,R,71,170,0.226,52,Low,Low
702,Hosken Powell,L,73,175,0.259,17,Low,Medium
703,Dave Stapleton,L,73,185,0.0,0,Medium,Medium
704,Dave Stapleton,R,73,178,0.271,41,Low,Medium
705,Gary Ward,R,74,195,0.276,130,High,Medium
706,Jim Lonborg,R,77,200,0.136,3,High,High
707,Joe Lis,R,72,175,0.233,32,Low,Low
708,Dan Meyer,L,71,180,0.253,86,Medium,Low
709,Jim Holt,L,72,180,0.265,19,Medium,Low
710,Tom Klawitter,R,74,190,0.0,0,Medium,Medium
711,Larry Herndon,R,75,190,0.27399999999999997,107,Medium,High
712,Gary Christenson,L,77,200,0.0,0,High,High
713,Jim Wright,R,77,205,0.0,0,High,High
714,Jim Wright,R,73,165,0.0,0,Low,Medium
715,Wallace Johnson,B,72,173,0.255,5,Low,Low
716,Mike Kinnunen,L,73,185,0.0,0,Medium,Medium
717,Eddie Leon,R,72,170,0.23600000000000002,24,Low,Low
718,Dave Rajsich,L,77,175,0.0,0,Low,High
719,Jim Wohlford,R,71,175,0.26,21,Low,Low
720,J.R. Richard,R,80,222,0.168,10,High,High
721,Bill Voss,L,74,160,0.22699999999999998,19,Low,Medium
722,Keith Moreland,R,72,190,0.27899999999999997,121,Medium,Low
723,Ramon Pena,R,70,155,0.0,0,Low,Low
724,Alex Johnson,R,72,205,0.28800000000000003,78,High,Low
725,Wayne Krenchicki,L,73,180,0.266,15,Medium,Medium
726,Chico Escarrega,R,71,185,0.0,0,Medium,Low
727,Dave Rosello,R,71,160,0.23600000000000002,10,Low,Low
728,Cardell Camper,R,75,208,0.0,0,High,High
729,Paul Schaal,R,71,165,0.244,57,Low,Low
730,Tito Landrum,R,71,175,0.249,13,Low,Low
731,Dave Edwards,R,72,170,0.237,14,Low,Low
732,Mario Guerrero,R,70,155,0.257,7,Low,Low
733,Tom Tresh,B,73,180,0.245,153,Medium,Medium
734,Mike Overy,R,74,190,0.0,0,Medium,Medium
735,Ron Roenicke,B,72,180,0.23800000000000002,17,Medium,Low
736,Doug Griffin,R,72,160,0.245,7,Low,Low
737,Steve Blass,R,72,165,0.172,1,Low,Low
738,Johnnie LeMaster,R,74,165,0.222,22,Low,Medium
739,Craig Chamberlain,R,73,190,0.0,0,Medium,Medium
740,Nate Oliver,R,70,160,0.226,2,Low,Low
741,Ray Sadecki,L,71,180,0.191,5,Medium,Low
742,Ken Rudolph,R,73,180,0.213,6,Medium,Medium
743,Wayne Nordhagen,R,74,205,0.282,39,High,Medium
744,Biff Pocoroba,B,70,175,0.257,21,Low,Low
745,Len Matuszek,L,74,190,0.23399999999999999,30,Medium,Medium
746,Frank Eufemia,R,71,185,0.0,0,Medium,Low
747,Joe Lefebvre,L,70,170,0.258,31,Low,Low
748,Jim Maloney,L,74,190,0.201,7,Medium,Medium
749,Andre Robertson,R,70,155,0.251,5,Low,Low
750,Jerry Zimmerman,R,74,185,0.204,3,Medium,Medium
751,Jack Lazorko,R,71,200,0.0,0,High,Low
752,Mike Paxton,R,71,190,0.0,0,Medium,Low
753,Chet Lemon,R,72,190,0.273,215,Medium,Low
754,Rickey Keeton,R,74,190,0.0,0,Medium,Medium
755,Phil Mankowski,L,72,180,0.264,8,Medium,Low
756,Cleon Jones,R,72,185,0.281,93,Medium,Low
757,Joaquin Andujar,B,72,170,0.127,5,Low,Low
758,Mike Lum,L,72,180,0.247,90,Medium,Low
759,Johnny Grubb,L,75,175,0.278,99,Low,High
760,Curt Motton,R,68,164,0.213,25,Low,Low
761,Johnny Bench,R,73,197,0.267,389,High,Medium
762,Dale Berra,R,72,180,0.23600000000000002,49,Medium,Low
763,Terry Felton,R,73,180,0.0,0,Medium,Medium
764,Bob Meacham,B,73,175,0.23600000000000002,8,Low,Medium
765,Mark Clear,R,76,200,0.0,0,High,High
766,Carl Warwick,R,70,170,0.248,31,Low,Low
767,Sam Bowens,R,73,188,0.223,45,Medium,Medium
768,George Wright,B,71,180,0.245,42,Medium,Low
769,Luis Aguayo,R,69,173,0.23600000000000002,37,Low,Low
770,Hal Lanier,R,74,180,0.228,8,Medium,Medium
771,Mike Pazik,L,74,195,0.0,0,High,Medium
772,Len Randle,B,70,169,0.257,27,Low,Low
773,Greg Pryor,R,72,180,0.25,14,Medium,Low
774,Jim Traber,L,72,194,0.22699999999999998,27,High,Low
775,Dave Nelson,R,70,160,0.244,20,Low,Low
776,Lynn Jones,R,69,175,0.252,7,Low,Low
777,Bryan Little,B,70,160,0.245,3,Low,Low
778,Ken Suarez,R,69,175,0.22699999999999998,5,Low,Low
779,Rick Peters,B,69,170,0.27699999999999997,2,Low,Low
780,Ron Stone,L,74,185,0.24100000000000002,6,Medium,Medium
781,Rich Barnes,R,76,186,0.0,0,Medium,High
782,Tommie Agee,R,71,195,0.255,130,High,Low
783,Bob Bailey,R,73,180,0.257,189,Medium,Medium
784,Cap Peterson,R,74,195,0.23,19,High,Medium
785,Ted Uhlaender,L,74,190,0.263,36,Medium,Medium
786,Ted Simmons,B,71,193,0.285,248,High,Low
787,Bobby Murcer,L,71,160,0.27699999999999997,252,Low,Low
788,Dick Tracewski,R,71,160,0.213,8,Low,Low
789,Dave Frost,R,78,235,0.0,0,High,High
790,Mark Souza,L,72,180,0.0,0,Medium,Low
791,Bill Nahorodny,R,74,200,0.24100000000000002,25,High,Medium
792,Bill Madlock,R,71,180,0.305,163,Medium,Low
793,Bob Boone,R,74,195,0.254,105,High,Medium
794,Rick Jones,L,77,190,0.0,0,Medium,High
795,Steve Kemp,L,72,195,0.278,130,High,Low
796,Rick Burleson,R,70,165,0.273,50,Low,Low
797,Jim Dorsey,R,79,190,0.0,0,Medium,High
798,Mark Ciardi,R,72,180,0.0,0,Medium,Low
799,Dennis Burtt,R,72,180,0.0,0,Medium,Low
800,Carl Taylor,R,74,200,0.266,10,High,Medium
801,Terry Harmon,R,74,180,0.233,4,Medium,Medium
802,Mike Hargrove,L,72,195,0.29,80,High,Low
803,Rich Yett,R,74,187,0.0,0,Medium,Medium
804,Steve Hovley,L,70,188,0.258,8,Medium,Low
805,Don Leppert,R,74,220,0.22899999999999998,15,High,Medium
806,Matt Williams,R,73,200,0.0,0,High,Medium
807,Jim Burton,R,75,195,0.0,0,High,High
808,Rick Anderson,R,74,210,0.0,0,High,Medium
809,Charlie Mitchell,R,75,170,0.0,0,Low,High
810,Bill Paschall,R,72,175,0.0,0,Low,Low
811,John Bohnet,B,72,175,0.0,0,Low,Low
812,Byron McLaughlin,R,73,175,0.0,0,Low,Medium
813,Lee May,R,75,195,0.267,354,High,High
814,Luis Quintana,L,74,175,0.0,0,Low,Medium
815,Sam McDowell,L,77,190,0.154,2,Medium,High
816,Rick Renick,R,72,188,0.221,20,Medium,Low
817,Jeff Torborg,R,72,195,0.214,8,High,Low
818,Dave Campbell,R,73,180,0.213,20,Medium,Medium
819,Pat Kelly,L,73,185,0.264,76,Medium,Medium
820,Al Weis,B,72,160,0.21899999999999997,7,Low,Low
821,Jerry Turner,L,69,180,0.257,45,Medium,Low
822,Rick Auerbach,R,72,165,0.22,9,Low,Low
823,Keith Macwhorter,R,76,190,0.0,0,Medium,High
824,Don Wilson,R,74,195,0.146,1,High,Medium
825,Jaime Cocanower,R,76,200,0.0,0,High,High
826,Jeff Sellers,R,73,175,0.0,0,Low,Medium
827,Sandy Valdespino,L,68,170,0.23,7,Low,Low
828,Steve Senteney,R,74,205,0.0,0,High,Medium
829,Howard Bailey,R,72,195,0.0,0,High,Low
830,Jeff Bettendorf,R,75,180,0.0,0,Medium,High
831,Ken Phelps,L,73,209,0.239,123,High,Medium
832,Cesar Cedeno,R,74,175,0.285,199,Low,Medium
833,Bob Davidson,R,72,185,0.0,0,Medium,Low
834,Phil Linz,R,73,180,0.235,11,Medium,Medium
835,Manny Mota,R,70,160,0.304,31,Low,Low
836,Brian Snyder,L,75,185,0.0,0,Medium,High
837,Steve Renko,R,77,230,0.215,6,High,High
838,Rick Sofield,L,73,195,0.243,9,High,Medium
839,Carlos Velazquez,R,71,180,0.0,0,Medium,Low
840,Roger Miller,R,75,200,0.0,0,High,High
841,Doug DeCinces,R,74,190,0.259,237,Medium,Medium
842,John Castino,R,71,175,0.278,41,Low,Low
843,Dave May,L,70,186,0.251,96,Medium,Low
844,Ron Washington,R,71,155,0.261,20,Low,Low
845,Billy Grabarkewitz,R,70,165,0.23600000000000002,28,Low,Low
846,Willie Aikens,L,75,220,0.271,110,High,High
847,Earl Williams,R,75,215,0.247,138,High,High
848,Willie Mueller,R,76,220,0.0,0,High,High
849,John Flinn,R,72,175,0.0,0,Low,Low
850,Don Hahn,R,73,180,0.23600000000000002,7,Medium,Medium
851,Todd Cruz,R,72,175,0.22,34,Low,Low
852,Tom Egan,R,76,218,0.2,22,High,High
853,Bob Heise,R,72,175,0.247,1,Low,Low
854,Tommy Harper,R,69,165,0.257,146,Low,Low
855,Joe Wallis,B,71,180,0.244,16,Medium,Low
856,Max Alvis,R,71,185,0.247,111,Medium,Low
857,Rico Carty,R,75,200,0.299,204,High,High
858,Mike Cubbage,L,72,180,0.258,34,Medium,Low
859,Les Straker,R,73,193,0.0,0,High,Medium
860,Merritt Ranew,L,71,170,0.247,8,Low,Low
861,Lyman Bostock,L,73,180,0.311,23,Medium,Medium
862,Damaso Garcia,R,73,165,0.28300000000000003,36,Low,Medium
863,Don Kainer,R,75,205,0.0,0,High,High
864,Don Gordon,R,73,175,0.0,0,Low,Medium
865,Roy Howell,L,73,190,0.261,80,Medium,Medium
866,Boog Powell,L,76,230,0.266,339,High,High
867,Sandy Wihtol,R,73,195,0.0,0,High,Medium
868,Sonny Siebert,R,75,190,0.17300000000000001,12,Medium,High
869,Jeff Richardson,R,75,185,0.0,0,Medium,High
870,Bobby Darwin,R,74,190,0.251,83,Medium,Medium
871,Dennis DeBarr,L,74,190,0.0,0,Medium,Medium
872,Dan Driessen,L,71,187,0.267,153,Medium,Low
873,Bruce Miller,R,73,185,0.24600000000000002,1,Medium,Medium
874,Bob Bailor,R,71,170,0.264,9,Low,Low
875,Tommy Helms,R,70,165,0.26899999999999996,34,Low,Low
876,Tony Armas,R,71,182,0.252,251,Medium,Low
877,Willie Horton,R,71,209,0.273,325,High,Low
878,Lou Piniella,R,72,182,0.29100000000000004,102,Medium,Low
879,Butch Hobson,R,73,193,0.248,98,High,Medium
880,John Wathan,R,74,205,0.262,21,High,Medium
881,Hal King,L,73,200,0.214,24,High,Medium
882,Mike Krukow,R,77,205,0.193,5,High,High
883,Andres Mora,R,72,180,0.223,27,Medium,Low
884,Barry Foote,R,75,205,0.23,57,High,High
885,Ed Ott,L,70,190,0.259,33,Medium,Low
886,Alan Wiggins,B,74,160,0.259,5,Low,Medium
887,Ron Clark,R,70,175,0.18899999999999997,5,Low,Low
888,Jay Pettibone,R,76,182,0.0,0,Medium,High
889,Glen Cook,R,71,180,0.0,0,Medium,Low
890,Julio Gotay,R,72,180,0.26,6,Medium,Low
891,Gary Alexander,R,74,195,0.23,55,High,Medium
892,Andre Thornton,R,75,200,0.254,253,High,High
893,Bob Oliver,R,75,205,0.256,94,High,High
894,Bill Castro,R,71,170,0.0,0,Low,Low
895,Ed Hodge,L,74,192,0.0,0,High,Medium
896,Tom Buskey,R,75,200,0.0,0,High,High
897,Bruce Taylor,R,72,178,0.0,0,Low,Low
898,Stan Thomas,R,74,185,0.0,0,Medium,Medium
899,Bob Robertson,R,73,195,0.242,115,High,Medium
900,Larry Monroe,R,76,200,0.0,0,High,High
901,Roger Slagle,R,75,190,0.0,0,Medium,High
902,Ollie Brown,R,74,178,0.265,102,Low,Medium
903,Jim Campbell,L,71,175,0.0,0,Low,Low
904,Frank Quilici,R,73,170,0.214,5,Low,Medium
905,Curt Kaufman,R,74,175,0.0,0,Low,Medium
906,Joe Pepitone,L,74,185,0.258,219,Medium,Medium
907,Steve Barber,L,72,195,0.115,5,High,Low
908,De Wayne Vaughn,R,71,180,0.0,0,Medium,Low
909,Norm Miller,L,70,185,0.23800000000000002,24,Medium,Low
910,Bob Galasso,L,73,205,0.0,0,High,Medium
911,Rich Wortham,R,72,185,0.0,0,Medium,Low
912,Bob Chance,L,74,196,0.261,24,High,Medium
913,Julio Cruz,B,69,165,0.237,23,Low,Low
914,Bill Sample,R,69,175,0.272,46,Low,Low
915,Juan Nieves,L,75,175,0.0,0,Low,High
916,Mike Bacsik,R,74,180,0.0,0,Medium,Medium
917,Craig Kusick,R,75,210,0.235,46,High,High
918,Rudy Meoli,L,69,165,0.212,2,Low,Low
919,Ruppert Jones,L,70,170,0.25,147,Low,Low
920,Glenn Hoffman,R,73,175,0.242,23,Low,Medium
921,Russ Gibson,R,73,195,0.228,8,High,Medium
922,Phil Huffman,R,74,180,0.0,0,Medium,Medium
923,Terry Francona,L,73,190,0.27399999999999997,16,Medium,Medium
924,John Bateman,R,75,210,0.23,81,High,High
925,Luis Pujols,R,74,175,0.193,6,Low,Medium
926,Joe Gaines,R,73,190,0.24100000000000002,21,Medium,Medium
927,Doug Rader,R,74,208,0.251,155,High,Medium
928,Mickey Stanley,R,73,185,0.248,117,Medium,Medium
929,Steve Brown,R,77,200,0.0,0,High,High
930,Rick Lysander,R,74,190,0.0,0,Medium,Medium
931,Phil Bradley,R,72,185,0.28600000000000003,78,Medium,Low
932,Winston Llenas,R,70,165,0.23,3,Low,Low
933,Charlie Moore,R,71,180,0.261,36,Medium,Low
934,Ralph Garr,L,71,185,0.306,75,Medium,Low
935,Tommy John,R,75,180,0.157,5,Medium,High
936,Bruce Benedict,R,73,175,0.242,18,Low,Medium
937,John Ellis,R,74,225,0.262,69,High,Medium
938,Wes Parker,B,73,180,0.267,64,Medium,Medium
939,Mel Stottlemyre,R,72,190,0.0,0,Medium,Low
940,David Green,R,75,170,0.268,31,Low,High
941,Reid Nichols,R,71,165,0.266,22,Low,Low
942,Rick Reichardt,R,75,210,0.261,116,High,High
943,Luis Tiant,R,72,180,0.16399999999999998,5,Medium,Low
944,Alex Sanchez,R,74,185,0.0,0,Medium,Medium
945,Broderick Perkins,L,70,180,0.271,8,Medium,Low
946,Leon Roberts,R,75,200,0.267,78,High,High
947,Ray Burris,R,77,200,0.151,1,High,High
948,Len Gabrielson,L,76,210,0.253,37,High,High
949,Johnny Edwards,L,76,220,0.242,81,High,High
950,Paul Wilmet,R,71,170,0.0,0,Low,Low
951,Tom Grieve,R,74,190,0.249,65,Medium,Medium
952,Bruce Ellingsen,L,72,180,0.0,0,Medium,Low
953,Bob Forsch,R,76,200,0.213,12,High,High
954,Gorman Heimueller,L,76,195,0.0,0,High,High
955,Danny Cater,R,72,170,0.276,66,Low,Low
956,Bill Schroeder,R,74,200,0.24,61,High,Medium
957,Clay Dalrymple,L,72,190,0.233,55,Medium,Low
